route_name,origin_latitude,origin_longitude,destination_latitude,destination_longitude,distance,driving_time,public_transport,traffic_index
Iskcon to Koramangala,13.0099295,77.5510424,12.937277,77.623006,15.7,82,68,Maroon
KC General to Silk board,12.996302,77.569264,12.916508,77.621199,13.2,80,60,Maroon
Phoenix Market city to Sadashivanagar,12.995638,77.696144,13.007321,77.580828,20.1,70,82,Red
Jayanagar to Manyata,12.92797,77.582962,13.043513,77.620982,18.5,85,74,Red
World Trade Centre to Kengeri,13.011948,77.556154,12.899967,77.483105,22,105,78,Maroon
Basaveshwarnagar to Lalbagh,12.988811,77.534904,12.950684,77.585115,8.9,55,38,Yellow
Chinnaswamy Stadium to Brookfield,12.977755,77.598836,12.959896,77.714679,14.1,80,66,Red
Indiranagar to KSR ,12.976348,77.643445,12.978115,77.569802,11.5,65,35,Red
Oberoi to KIA ,12.973412,77.618163,13.198038,77.707531,35.6,140,138,Maroon
Christ University to Hebbal,13.034926,77.597106,12.936218,77.606129,15.9,73,70,Red
Aachar Residency to IIMB,13.014147,77.577953,12.895733,77.602172,15.7,85,64,Red
KR Marjet to Tambu Chetty Palya,12.965617,77.57692,13.01912,77.703866,16.6,100,66,Maroon
Prestige Misty Waters to DYU Art Cafe,13.046336,77.601969,12.937309,77.61757,17.5,90,77,Maroon
83 1 J Cross to Ranga Shankara ,12.989753,77.534173,12.911522,77.587048,17.4,65,62,Red
166 1 J Cross to Apollo Hospitals,12.988977,77.53493,12.896032,77.598648,20.7,97,68,Maroon
Prestige Falcon to VV Puram Food Street,12.884725,77.56343,12.950902,77.577757,8.8,50,32,Yellow
Basaveshwarnagar to Mapbox Indiranagar,12.990035,77.531157,12.9812,77.640595,14.6,75,50,Red